Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Color,Airbags,Manufacturerencoded,Modelencoded,Categoryencoded,Fuel typeencoded,Gear box typeencoded,Drive wheelsencoded,Colorencoded
8467,0,HONDA,FIT,2006,Hatchback,0,Petrol,1.3,200000,4.0,Variator,Front,Black,2,17,389,3,4,3,1,1
3607,862,FORD,Escape,2011,Jeep,1,Hybrid,2.5,168966,4.0,Automatic,4x4,White,0,13,376,4,2,0,0,14
11726,446,HONDA,FIT,2014,Hatchback,1,Petrol,1.3,91901,4.0,Automatic,Front,Silver,4,17,389,3,4,0,1,12
39493,891,HYUNDAI,Santa FE,2016,Jeep,1,Diesel,2.0,160931,4.0,Automatic,Front,White,4,18,753,4,1,0,1,14
1803,761,TOYOTA,Prius,2010,Hatchback,1,Hybrid,1.8,258909,4.0,Automatic,Front,White,12,45,681,3,2,0,1,14
549,751,HYUNDAI,Sonata,2013,Sedan,1,Petrol,2.4,216118,4.0,Automatic,Front,Grey,12,18,770,8,4,0,1,7
549,1079,TOYOTA,CHR,2018,Jeep,1,Petrol,2.0,74146,4.0,Automatic,Front,White,12,45,192,4,4,0,1,14
7683,810,HYUNDAI,Elantra,2016,Sedan,1,Petrol,1.8,121840,4.0,Automatic,Front,Blue,12,18,355,8,4,0,1,2
28382,810,HYUNDAI,Elantra,2016,Sedan,1,Petrol,1.8,54317,4.0,Automatic,Front,White,4,18,355,8,4,0,1,14
18826,531,HYUNDAI,Elantra,2012,Sedan,1,Petrol,1.6,112645,4.0,Automatic,Front,Silver,4,18,355,8,4,0,1,12
20698,586,TOYOTA,Prius,2012,Sedan,1,Plug-in Hybrid,1.8,187000,4.0,Automatic,Front,White,12,45,681,8,5,0,1,14
17562,1249,TOYOTA,Camry,2017,Sedan,1,Petrol,2.5,39709,4.0,Automatic,Front,Black,12,45,225,8,4,0,1,1
7840,0,FORD,Transit,2001,Microbus,0,Diesel,2.0,230000,4.0,Manual,Front,White,0,13,834,5,1,1,1,14
20385,0,MERCEDES-BENZ,E 220,2006,Sedan,1,Diesel,2.2,210000,4.0,Tiptronic,Rear,Black,8,28,334,8,1,2,2,1
30,0,TOYOTA,Prius,2008,Sedan,0,Hybrid,1.5,169000,4.0,Automatic,Front,White,8,45,681,8,2,0,1,14
14454,583,HYUNDAI,Elantra,2011,Sedan,1,Petrol,1.6,158787,4.0,Automatic,Front,Silver,4,18,355,8,4,0,1,12
23235,707,HYUNDAI,Santa FE,2011,Jeep,1,Diesel,2.0,162000,4.0,Automatic,Front,Grey,4,18,753,4,1,0,1,7
7527,1486,HONDA,FIT,2010,Hatchback,0,Hybrid,1.3,158000,4.0,Automatic,Front,Black,4,17,389,3,2,0,1,1
19121,531,HYUNDAI,Elantra,2012,Sedan,1,Petrol,1.6,103490,4.0,Automatic,Front,Silver,4,18,355,8,4,0,1,12
24462,751,TOYOTA,Camry,2013,Sedan,1,Petrol,2.4,203200,4.0,Automatic,Front,Blue,4,45,225,8,4,0,1,2
45734,1091,HYUNDAI,H1,2016,Universal,1,Diesel,2.5,61057,4.0,Automatic,Front,Black,4,18,474,9,1,0,1,1
20165,650,VOLKSWAGEN,Jetta,2016,Sedan,1,Petrol,1.4,11200,4.0,Tiptronic,Front,Black,8,48,515,8,4,2,1,1
21326,382,HYUNDAI,Sonata,2014,Sedan,1,Hybrid,2.4,141000,4.0,Tiptronic,Front,White,12,18,770,8,2,2,1,14
15681,503,TOYOTA,Prius C,2012,Hatchback,0,Hybrid,1.5,128000,4.0,Variator,Front,Sky blue,8,45,688,3,2,3,1,13
12544,0,TOYOTA,Aqua,2012,Hatchback,0,Hybrid,1.5,141500,4.0,Automatic,Front,Black,8,45,112,3,2,0,1,1
17249,0,FORD,Escape Hybrid,2008,Jeep,0,Hybrid,2.3,147000,4.0,Variator,4x4,White,8,13,378,4,2,3,0,14
34889,891,HONDA,Civic,2016,Sedan,1,Petrol,2.0,87768,4.0,Automatic,Front,Blue,4,17,261,8,4,0,1,2
14583,0,RENAULT,Megane 1.5CDI,2008,Sedan,0,Diesel,1.5,132542,4.0,Manual,Front,White,10,36,601,8,1,1,1,14
392,1017,MERCEDES-BENZ,E 300,2017,Sedan,1,Petrol,2.0,1600,4.0,Automatic,Rear,Black,12,28,342,8,4,0,2,1
8781,0,MERCEDES-BENZ,C 180,2001,Coupe,0,Petrol,2.0,260000,4.0,Manual,Rear,Blue,0,28,158,1,4,1,2,2
1411,629,NISSAN,Juke,2015,Jeep,1,Petrol,1.6,87112,4.0,Automatic,4x4,Black,0,32,532,4,4,0,0,1
23521,781,CHEVROLET,Cruze LT,2018,Sedan,0,Petrol,1.4,22000,4.0,Automatic,Front,Red,6,6,309,8,4,0,1,11
16935,530,FORD,Fusion,2013,Sedan,0,Petrol,1.6,83000,4.0,Tiptronic,Front,Silver,8,13,439,8,4,2,1,12
